date,GISS,HAD,NOAA,RSS,UAH
188001,-0.41,-0.007,-0.0361,null,null
188002,-0.27,-0.25,-0.1819,null,null
188003,-0.25,-0.176,-0.1947,null,null
188004,-0.31,-0.151,-0.0886,null,null
188005,-0.31,-0.245,-0.1114,null,null
188006,-0.39,-0.336,-0.1533,null,null
188007,-0.25,-0.295,-0.1538,null,null
188008,-0.15,-0.153,-0.0967,null,null
188009,-0.3,-0.251,-0.1004,null,null
188010,-0.27,-0.413,-0.1969,null,null
188011,-0.21,-0.479,-0.2458,null,null
188012,-0.25,-0.337,-0.0879,null,null
188101,-0.21,-0.399,-0.0463,null,null
188102,-0.27,-0.262,-0.0134,null,null
188103,-0.02,-0.26,0.0763,null,null
188104,-0.06,-0.186,0.0713,null,null
188105,-0.1,-0.043,0.075,null,null
188106,-0.32,-0.248,-0.101,null,null
188107,-0.13,-0.126,-0.0151,null,null
188108,-0.12,-0.15,-0.0336,null,null
188109,-0.27,-0.304,-0.1554,null,null
188110,-0.3,-0.324,-0.2347,null,null
188111,-0.38,-0.435,-0.2896,null,null
188112,-0.29,-0.186,-0.054,null,null
188201,-0.11,0.052,0.0434,null,null
188202,-0.03,-0.059,-0.0411,null,null
188203,-0.1,-0.055,-0.0179,null,null
188204,-0.31,-0.291,-0.1787,null,null
188205,-0.26,-0.393,-0.1226,null,null
188206,-0.34,-0.353,-0.1838,null,null
188207,-0.29,-0.247,-0.1871,null,null
188208,-0.15,-0.28,-0.092,null,null
188209,-0.25,-0.137,-0.0888,null,null
188210,-0.37,-0.345,-0.167,null,null
188211,-0.36,-0.358,-0.1171,null,null
188212,-0.55,-0.503,-0.2027,null,null
188301,-0.45,-0.452,-0.2623,null,null
188302,-0.4,-0.337,-0.2587,null,null
188303,-0.17,-0.295,-0.1257,null,null
188304,-0.22,-0.359,-0.2034,null,null
188305,-0.26,-0.311,-0.1176,null,null
188306,-0.13,-0.077,0.0065,null,null
188307,-0.1,-0.195,-0.068,null,null
188308,-0.24,-0.196,-0.1117,null,null
188309,-0.34,-0.321,-0.1497,null,null
188310,-0.34,-0.395,-0.2014,null,null
188311,-0.34,-0.319,-0.2248,null,null
188312,-0.28,-0.326,-0.0893,null,null
188401,-0.26,-0.347,-0.1752,null,null
188402,-0.19,-0.25,-0.1669,null,null
188403,-0.37,-0.384,-0.2399,null,null
188404,-0.4,-0.496,-0.2659,null,null
188405,-0.38,-0.35,-0.1851,null,null
188406,-0.36,-0.381,-0.2331,null,null
188407,-0.28,-0.381,-0.2975,null,null
188408,-0.2,-0.373,-0.2467,null,null
188409,-0.32,-0.3,-0.2834,null,null
188410,-0.33,-0.3,-0.1993,null,null
188411,-0.36,-0.594,-0.3014,null,null
188412,-0.35,-0.456,-0.1933,null,null
188501,-0.61,-0.542,-0.4037,null,null
188502,-0.35,-0.504,-0.2531,null,null
188503,-0.24,-0.426,-0.1532,null,null
188504,-0.42,-0.455,-0.2238,null,null
188505,-0.35,-0.445,-0.2496,null,null
188506,-0.42,-0.491,-0.3202,null,null
188507,-0.29,-0.304,-0.2273,null,null
188508,-0.26,-0.354,-0.2035,null,null
188509,-0.25,-0.247,-0.1686,null,null
188510,-0.27,-0.281,-0.1238,null,null
188511,-0.24,-0.203,-0.0307,null,null
188512,-0.09,-0.095,0.0848,null,null
188601,-0.39,-0.373,-0.1172,null,null
188602,-0.45,-0.478,-0.3142,null,null
188603,-0.34,-0.384,-0.2159,null,null
188604,-0.21,-0.17,-0.099,null,null
188605,-0.22,-0.063,-0.0866,null,null
188606,-0.33,-0.262,-0.1632,null,null
188607,-0.08,-0.183,-0.1021,null,null
188608,-0.21,-0.179,-0.1157,null,null
188609,-0.21,-0.247,-0.139,null,null
188610,-0.35,-0.296,-0.2065,null,null
188611,-0.34,-0.396,-0.2281,null,null
